factory_name,factory_type,factory_priority,management_employees,number_of_machines,production_capacity_yearly_in_dozen,principal_exportable_products,factory_location,factiry_location_in_city,factory_location_in_town,year_of_establishment,products_list,production_capacity_yearly_pieces,capacity_category,factory_age,employees_per_machine,productivity_pieces_per_machine,num_products,produces_t-shirt,produces_shirt,produces_pants,produces_jacket,produces_polo_shirt,produces_sweater
A & B Design & Fashion (Pvt.) Ltd.,Sweater,5.0,0.0,141,20800.0,Sweater,"Kalma, Dairy Farm, Dhaka, Savar",Dhaka,Savar,2016,['Sweater'],249600.0,Large,9,0.0,1770.212765957447,1,0,0,0,0,0,1
A J Fashions Ltd.,Woven,5.0,831.0,658,75000.0,"Padding Jackets ,Shorts ,Fleece Tops ,Pants","234/4, Kachukhet, Dhaka, Cantonment",Dhaka,Cantonment,2000,"['Padding Jackets', 'Shorts', 'Fleece Tops', 'Pants']",900000.0,Large,25,1.262917933130699,1367.7811550151976,4,0,0,1,0,0,0
A Line Sport Ltd.,Woven,1.0,250.0,166,1050000.0,"Shirt ,Pant ,T-Shirt ,Polo Shirt","Plot # 22, Rajabari, Nishatnagar-1711, Turag, Dhaka, Dhaka",Dhaka,Dhaka,2022,"['Shirt', 'Pant', 'T-Shirt', 'Polo Shirt']",12600000.0,Very Large,3,1.5060240963855422,75903.61445783133,4,1,1,0,0,1,0
A One Dress Makers Ltd.,Knit,5.0,400.0,180,120000.0,"Shirts ,Pants ,Skirts","1703, Rayerbagh, Dania, Dhaka, Shampur",Dhaka,Shampur,2006,"['Shirts', 'Pants', 'Skirts']",1440000.0,Very Large,19,2.2222222222222223,8000.0,3,0,0,1,0,0,0
A Plus Industries Ltd.,Woven,5.0,1900.0,1276,720000.0,"Shirts ,Sweaters","Plot # 28, Section # 7, Dhaka, Dhaka",Dhaka,Dhaka,2006,"['Shirts', 'Sweaters']",8640000.0,Very Large,19,1.4890282131661443,6771.159874608151,2,0,0,0,0,0,0
A Plus Sweater Ltd.,Sweater,5.0,777.0,1318,1800000.0,Sweater,"Sarifpur Road, Maleker Bari, National University, Gazipur, Gazipur",Gazipur,Gazipur,2013,['Sweater'],21600000.0,Very Large,12,0.5895295902883156,16388.46737481032,1,0,0,0,0,0,1
A S Fashion House,Knit,1.0,140.0,100,350000.0,"T-Shirt ,Polo Shirt ,Jacket ,Payjama","Mouchak, Kaliakair, Gazipur, Gazipur",Gazipur,Gazipur,2022,"['T-Shirt', 'Polo Shirt', 'Jacket', 'Payjama']",4200000.0,Very Large,3,1.4,42000.0,4,1,0,0,1,1,0
A.B. Sweater Inds. (BD) Ltd.,Sweater,5.0,240.0,260,36000.0,Sweaters,"Khadun, Tarabo Pouroshava, Rupganj, Narayanganj, Narayangonj",Narayanganj,Narayangonj,2008,['Sweaters'],432000.0,Large,17,0.9230769230769231,1661.5384615384614,1,0,0,0,0,0,0
A.B.M. Fashions Ltd.,Woven,5.0,900.0,400,130000.0,"Trousers ,Overalls ,Children Wears ,Uniforms","Holding # 1143, 1145, Konabari, Gazipur, Kashimpur",Gazipur,Kashimpur,1992,"['Trousers', 'Overalls', 'Children Wears', 'Uniforms']",1560000.0,Very Large,33,2.25,3900.0,4,0,0,0,0,0,0
A.G. Dresses Limited.,Woven,5.0,505.0,219,100000.0,"Shirts ,Trousers","Plot # 9, Block - C, Tongi I/A, Himardighi, Gazipur, Tongi",Gazipur,Tongi,1992,"['Shirts', 'Trousers']",1200000.0,Very Large,33,2.3059360730593608,5479.45205479452,2,0,0,0,0,0,0
A.J. Super Garments Ltd.,Woven,5.0,2633.0,1280,310000.0,"Shirts ,Pants ,Trousers ,Shorts","Goshbagh (1St - 6Th Floor), Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2005,"['Shirts', 'Pants', 'Trousers', 'Shorts']",3720000.0,Very Large,20,2.05703125,2906.25,4,0,0,1,0,0,0
A.K. Khan & Co. Ltd.(Garments Div),Woven,5.0,850.0,375,100000.0,Ladies Shirts,"Kalurghat Heavy Industrial Area, Chittagong, Kalurghat",Chittagong,Kalurghat,1986,['Ladies Shirts'],1200000.0,Very Large,39,2.2666666666666666,3200.0,1,0,0,0,0,0,0
A.K.J. Fashions Fabrics Ltd.,Woven,5.0,250.0,83,60000.0,"Trousers ,Jackets ,Overalls ,Pants","Plot # 15-16, Road # 4, Section # 7, Dhaka, Mirpur",Dhaka,Mirpur,2005,"['Trousers', 'Jackets', 'Overalls', 'Pants']",720000.0,Large,20,3.0120481927710845,8674.698795180722,4,0,0,1,0,0,0
A.K.M. Knit Wear Ltd.,Woven,5.0,16815.0,6500,1950000.0,"Pants ,Trousers ,Jackets ,Rumpers","14, Gedda, Conpara, Ulail, Dhaka, Savar",Dhaka,Savar,2001,"['Pants', 'Trousers', 'Jackets', 'Rumpers']",23400000.0,Very Large,24,2.586923076923077,3600.0,4,0,0,1,0,0,0
A.M. Design Ltd.,Woven,5.0,990.0,1038,240000.0,"Ladies Dress ,Jackets ,Skirts ,Trousers","Diakhali, Baron, Zirabo, Ashulia, Dhaka, Savar",Dhaka,Savar,2005,"['Ladies Dress', 'Jackets', 'Skirts', 'Trousers']",2880000.0,Very Large,20,0.953757225433526,2774.566473988439,4,0,0,0,0,0,0
A.M. Fashion,Sweater,5.0,200.0,70,4800.0,Sweater,"Mazukhan, Harbide, Gaibandha, B. Baria",Gaibandha,B. Baria,2016,['Sweater'],57600.0,Medium,9,2.857142857142857,822.8571428571429,1,0,0,0,0,0,1
A.N. Sweaters Ltd.,Sweater,5.0,350.0,250,36000.0,Sweaters,"Plot # 6594-95, South Halishahar, Chittagong","Plot # 6594-95, South Halishahar",Chittagong,2003,['Sweaters'],432000.0,Large,22,1.4,1728.0,1,0,0,0,0,0,0
A.N.B. Fashion Ltd.,Woven,1.0,207.0,141,100000.0,"Shirt ,Pant ,Jacket ,T-Shirt","Delux House (3Rd & 4Th Floor), 209/227 Kulgaon, Baluchara, Baizid Bostami, Chittagong, Chittagong",Chittagong,Chittagong,2022,"['Shirt', 'Pant', 'Jacket', 'T-Shirt']",1200000.0,Very Large,3,1.4680851063829787,8510.63829787234,4,1,1,0,1,0,0
A.R. Khan Sizing & Fabrics Ltd.,Sweater,5.0,0.0,0,0.0,Sweaters,"South Silimandi, Narsingdi, Panchdona",Narsingdi,Panchdona,2004,['Sweaters'],0.0,,21,0.0,0.0,1,0,0,0,0,0,0
A.R.B. Knitting & Dyeing Inds. Ltd.,Knit,5.0,350.0,130,330000.0,"T-Shirts ,Polo Shirts ,Fleece Shirts","Dewan Idris Road, Zirabo, Dhaka, Savar",Dhaka,Savar,2008,"['T-Shirts', 'Polo Shirts', 'Fleece Shirts']",3960000.0,Very Large,17,2.6923076923076925,30461.53846153846,3,0,0,0,0,0,0
A.S. Garments & Textiles Ltd.,Woven,5.0,320.0,270,50000.0,"Pants ,Jackets ,Trousers ,Skirts","109, Goran, Dhaka, Shabujbagh",Dhaka,Shabujbagh,2000,"['Pants', 'Jackets', 'Trousers', 'Skirts']",600000.0,Large,25,1.1851851851851851,2222.222222222222,4,0,0,1,0,0,0
A.S.R. Apparels Ltd.,Woven,5.0,138.0,75,216000.0,"T-shirts ,Cripper","768, Dit Road, Chittagong, Double Mooring",Chittagong,Double Mooring,1998,"['T-shirts', 'Cripper']",2592000.0,Very Large,27,1.84,34560.0,2,0,0,0,0,0,0
